managerName,reportCalendarOrQuarter,cusip,value,shares,sourceFilingId,companyName
BANK OZK,2023-03-31,254687106,1105635000.0,11042,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,DISNEY WALT CO
BANK OZK,2023-03-31,26875P101,603755000.0,5267,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,EOG RES INC
BANK OZK,2023-03-31,277432100,1098190000.0,13021,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,EASTMAN CHEM CO
BANK OZK,2023-03-31,291011104,1732953000.0,19887,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,EMERSON ELEC CO
BANK OZK,2023-03-31,29364G103,470285000.0,4365,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ENTERGY CORP NEW
BANK OZK,2023-03-31,30231G102,3565704000.0,32516,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,EXXON MOBIL CORP
BANK OZK,2023-03-31,31428X106,485541000.0,2125,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,FEDEX CORP
BANK OZK,2023-03-31,34959E109,4895377000.0,73659,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,FORTINET INC
BANK OZK,2023-03-31,38141G104,304865000.0,932,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,GOLDMAN SACHS GROUP INC
BANK OZK,2023-03-31,437076102,2270653000.0,7694,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,HOME DEPOT INC
BANK OZK,2023-03-31,438516106,2429517000.0,12712,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,HONEYWELL INTL INC
BANK OZK,2023-03-31,44107P104,184688000.0,11200,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,HOST HOTELS & RESORTS INC
BANK OZK,2023-03-31,445658107,296527000.0,1690,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,HUNT J B TRANS SVCS INC
BANK OZK,2023-03-31,452308109,1251819000.0,5142,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ILLINOIS TOOL WKS INC
BANK OZK,2023-03-31,458140100,1778489000.0,54438,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,INTEL CORP
BANK OZK,2023-03-31,459200101,251954000.0,1922,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,INTERNATIONAL BUSINESS MACHS
BANK OZK,2023-03-31,459506101,852008000.0,9265,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,INTERNATIONAL FLAVORS&FRAGRA
BANK OZK,2023-03-31,46131H107,312401000.0,84892,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,INVESCO SR INCOME TR
BANK OZK,2023-03-31,46266C105,1080966000.0,5435,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,IQVIA HLDGS INC
BANK OZK,2023-03-31,46625H100,4045734000.0,31047,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,JPMORGAN CHASE & CO
BANK OZK,2023-03-31,478160104,1659740000.0,10708,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,JOHNSON & JOHNSON
BANK OZK,2023-03-31,494368103,393667000.0,2933,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,KIMBERLY-CLARK CORP
BANK OZK,2023-03-31,532457108,4566798000.0,13298,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,LILLY ELI & CO
BANK OZK,2023-03-31,539830109,2750342000.0,5818,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,LOCKHEED MARTIN CORP
BANK OZK,2023-03-31,548661107,950456000.0,4753,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,LOWES COS INC
BANK OZK,2023-03-31,580135101,881609000.0,3153,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,MCDONALDS CORP
BANK OZK,2023-03-31,58933Y105,5956562000.0,55988,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,MERCK & CO INC
BANK OZK,2023-03-31,594918104,9795568000.0,33977,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,MICROSOFT CORP
BANK OZK,2023-03-31,595017104,343497000.0,4100,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,MICROCHIP TECHNOLOGY INC.
BANK OZK,2023-03-31,65339F101,1864873000.0,24194,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,NEXTERA ENERGY INC
BANK OZK,2023-03-31,670346105,1464529000.0,9481,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,NUCOR CORP
BANK OZK,2023-03-31,67066G104,1176355000.0,4235,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,NVIDIA CORPORATION
BANK OZK,2023-03-31,68389X105,328193000.0,3532,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,ORACLE CORP
BANK OZK,2023-03-31,69351T106,230239000.0,8285,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PPL CORP
BANK OZK,2023-03-31,713448108,5116978000.0,28069,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PEPSICO INC
BANK OZK,2023-03-31,717081103,2659955000.0,65195,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PFIZER INC
BANK OZK,2023-03-31,718546104,847738000.0,8362,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PHILLIPS 66
BANK OZK,2023-03-31,742718109,3781186000.0,25430,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PROCTER AND GAMBLE CO
BANK OZK,2023-03-31,744573106,1504107000.0,24085,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PUBLIC SVC ENTERPRISE GRP IN
BANK OZK,2023-03-31,74460D109,395802000.0,1310,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,PUBLIC STORAGE
BANK OZK,2023-03-31,74762E102,335112000.0,2011,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,QUANTA SVCS INC
BANK OZK,2023-03-31,75513E101,321895000.0,3287,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,RAYTHEON TECHNOLOGIES CORP
BANK OZK,2023-03-31,79466L302,2146635000.0,10745,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,SALESFORCE INC
BANK OZK,2023-03-31,842587107,1127265000.0,16201,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,SOUTHERN CO
BANK OZK,2023-03-31,855244109,876878000.0,8421,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,STARBUCKS CORP
BANK OZK,2023-03-31,85571B105,507703000.0,28700,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,STARWOOD PPTY TR INC
BANK OZK,2023-03-31,872540109,3522595000.0,44954,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,TJX COS INC NEW
BANK OZK,2023-03-31,87612EAP1,1352202000.0,8164,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,TARGET CORP
BANK OZK,2023-03-31,883556102,3268017000.0,5670,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,THERMO FISHER SCIENTIFIC INC
BANK OZK,2023-03-31,88579Y101,307025000.0,2921,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,3M CO
BANK OZK,2023-03-31,89832Q109,1068523000.0,31335,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,TRUIST FINL CORP
BANK OZK,2023-03-31,907818108,2504076000.0,12442,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,UNION PAC CORP
BANK OZK,2023-03-31,91324P102,520321000.0,1101,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,UNITEDHEALTH GROUP INC
BANK OZK,2023-03-31,92343V104,3316539000.0,85280,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,VERIZON COMMUNICATIONS INC
BANK OZK,2023-03-31,92939U106,437171000.0,4612,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,WEC ENERGY GROUP INC
BANK OZK,2023-03-31,931142103,2607652000.0,17685,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,WALMART INC
BANK OZK,2023-03-31,94106L109,733448000.0,4495,raw_2023-05-11_archives_edgar_data_1569650_0000950123-23-004490.txt,WASTE MGMT INC DEL
Blue Owl Capital Holdings LP,2023-03-31,69121K104,19841545000.0,1573477,raw_2023-05-11_archives_edgar_data_1858703_0000950123-23-004482.txt,OWL ROCK CAPITAL CORPORATION
Blue Owl Capital Holdings LP,2023-03-31,75960P104,46989315000.0,2772231,raw_2023-05-11_archives_edgar_data_1858703_0000950123-23-004482.txt,REMITLY GLOBAL INC
Blue Owl Capital Holdings LP,2023-03-31,85571B105,2172400000.0,686874,raw_2023-05-11_archives_edgar_data_1858703_0000950123-23-004482.txt,STARWOOD PPTY TR INC
CDAM (UK) Ltd,2023-03-31,041242108,32869722000.0,3871581,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,ARKO CORP
CDAM (UK) Ltd,2023-03-31,48123V102,70768716000.0,906710,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,ZIFF DAVIS INC
CDAM (UK) Ltd,2023-03-31,50187T106,69618280000.0,610526,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,LGI HOMES INC
CDAM (UK) Ltd,2023-03-31,683715106,63926193000.0,1658267,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,OPEN TEXT CORP
CDAM (UK) Ltd,2023-03-31,74758T303,73277061000.0,563583,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,QUALYS INC
CDAM (UK) Ltd,2023-03-31,78409V104,46926300000.0,136109,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,S&P GLOBAL INC
CDAM (UK) Ltd,2023-03-31,81762P102,76145302000.0,163852,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,SERVICENOW INC
CDAM (UK) Ltd,2023-03-31,87241L109,55885218000.0,468482,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,TFI INTERNATIONAL INC
CDAM (UK) Ltd,2023-03-31,958102105,61070190000.0,1621189,raw_2023-05-11_archives_edgar_data_1719387_0001719387-23-000003.txt,WESTERN DIGITAL CORP
Contrarius Investment Management Ltd,2023-03-31,020764106,10823000.0,69381,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,ALPHA METALLURGICAL RESOUR I
Contrarius Investment Management Ltd,2023-03-31,12769G100,78811000.0,1614657,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,CAESARS ENTERTAINMENT INC NE
Contrarius Investment Management Ltd,2023-03-31,25271C201,98770000.0,8203521,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,DIAMOND OFFSHORE DRILLING IN
Contrarius Investment Management Ltd,2023-03-31,552953101,50399000.0,1134608,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,MGM RESORTS INTERNATIONAL
Contrarius Investment Management Ltd,2023-03-31,69047Q102,15669000.0,434298,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,OVINTIV INC
Contrarius Investment Management Ltd,2023-03-31,697900108,11644000.0,639761,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,PAN AMERN SILVER CORP
Contrarius Investment Management Ltd,2023-03-31,707569109,11668000.0,393388,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,PENN ENTERTAINMENT INC
Contrarius Investment Management Ltd,2023-03-31,78573M104,11357000.0,2647227,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,SABRE CORP
Contrarius Investment Management Ltd,2023-03-31,88642R109,11212000.0,254345,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,TIDEWATER INC NEW
Contrarius Investment Management Ltd,2023-03-31,90353T100,68877000.0,2172786,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,UBER TECHNOLOGIES INC
Contrarius Investment Management Ltd,2023-03-31,98262P101,27329000.0,6633237,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,WW INTL INC
Contrarius Investment Management Ltd,2023-03-31,G7997W102,95184000.0,2370111,raw_2023-05-11_archives_edgar_data_1483738_0001387131-23-006349.txt,SEADRILL 2021 LTD
"Cornerstone Management, Inc.",2023-03-31,00081T108,29260000.0,5500,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ACCO BRANDS CORP
"Cornerstone Management, Inc.",2023-03-31,001055102,556400000.0,8624,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AFLAC INC
"Cornerstone Management, Inc.",2023-03-31,00206R102,89069000.0,4627,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AT&T INC
"Cornerstone Management, Inc.",2023-03-31,00287Y109,45102000.0,283,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ABBVIE INC
"Cornerstone Management, Inc.",2023-03-31,007903107,29403000.0,300,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ADVANCED MICRO DEVICES INC
"Cornerstone Management, Inc.",2023-03-31,02209S103,46882000.0,1051,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ALTRIA GROUP INC
"Cornerstone Management, Inc.",2023-03-31,025537101,54330000.0,597,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AMERICAN ELEC PWR CO INC
"Cornerstone Management, Inc.",2023-03-31,030371108,29976000.0,1370,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AMERICAN VANGUARD CORP
"Cornerstone Management, Inc.",2023-03-31,030420103,77117000.0,526,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AMERICAN WTR WKS CO INC NEW
"Cornerstone Management, Inc.",2023-03-31,037833100,269623000.0,1635,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,APPLE INC
"Cornerstone Management, Inc.",2023-03-31,04010L103,11368000.0,622,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ARES CAPITAL CORP
"Cornerstone Management, Inc.",2023-03-31,047649108,138795000.0,988,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,ATKORE INC
"Cornerstone Management, Inc.",2023-03-31,053015103,15139000.0,68,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AUTOMATIC DATA PROCESSING IN
"Cornerstone Management, Inc.",2023-03-31,060505104,308880000.0,10800,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,BANK AMERICA CORP
"Cornerstone Management, Inc.",2023-03-31,067901108,25219000.0,1358,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,BARRICK GOLD CORP
"Cornerstone Management, Inc.",2023-03-31,095229100,51061000.0,1940,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,AVANTAX INC
"Cornerstone Management, Inc.",2023-03-31,110122108,124103000.0,1791,raw_2023-05-11_archives_edgar_data_1587867_0001398344-23-009538.txt,BRISTOL-MYERS SQUIBB CO
